id,officer_id,created_at,updated_at,allegation_id
38885,10182,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081167
38886,19435,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081167
38887,23131,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081269
38888,65,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081756
38889,8023,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081757
38890,6935,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081757
38891,4386,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081783
38892,29627,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081783
38893,3134,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081626
38894,3515,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081633
38895,12874,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081687
38896,16612,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081687
38897,6645,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081687
38898,17336,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081687
38899,14368,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081687
38900,2966,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081687
38901,16535,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081741
38902,22911,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081418
38903,9017,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38904,14271,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38905,13375,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38906,451,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38907,8852,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38908,2606,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38909,5933,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38910,12464,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38911,15776,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38912,4103,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38913,15842,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38914,27022,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
