id,star,current,officer_id,created_at,updated_at
427,14393,false,320,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
428,9103,true,320,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
466,9230,false,357,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
467,2541,true,357,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
473,4545,false,361,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
474,2338,false,361,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
479,20209,true,366,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
480,3016,false,366,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
486,4826,true,374,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
487,10151,false,374,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
494,13679,false,381,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
495,5023,false,381,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
496,5556,false,381,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
498,12788,true,385,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
499,7703,false,385,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
506,13337,true,392,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
509,19587,false,392,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
510,19361,false,393,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
511,14560,false,393,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
512,1450,true,393,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
513,9248,false,394,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
514,1851,true,394,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
515,10063,false,395,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
516,1442,true,395,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
520,2480,false,397,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
521,17308,true,397,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
