,model,importances,parameters,set,type,outcome,train_start,train_end,test_start,test_end,precision_at_100,precision_at_5,precision_at_20,precision_at_50,precision_at_80,recall_at_100,recall_at_5,recall_at_20,recall_at_50,recall_at_80,f1_at_5,accuracy_at_50
31,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",1,augmented,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
32,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.41284403669724773,0.2642369020501139,0.16317228805834094,0.11902050113895217,1.0,0.21226415094339623,0.5471698113207547,0.8443396226415094,0.9858490566037735,0.28037383177570097,0.566742596810934
33,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,regular,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
34,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,augmented,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5504587155963303,0.2847380410022779,0.16226071103008205,0.11788154897494305,1.0,0.2830188679245283,0.589622641509434,0.839622641509434,0.9764150943396226,0.37383177570093457,0.5658314350797267
35,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,augmented,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.015945330296127564,0.007292616226071103,0.004555808656036446,1.0,0.75,0.875,1.0,1.0,0.10256410256410257,0.503872437357631
36,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,regular,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.3711340206185567,0.2416452442159383,0.14799588900308325,0.10468850353243417,1.0,0.2155688622754491,0.562874251497006,0.8622754491017964,0.9760479041916168,0.2727272727272727,0.5624036979969184
37,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,regular,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
38,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,augmented,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.5670103092783505,0.2570694087403599,0.14696813977389517,0.10404624277456648,1.0,0.32934131736526945,0.5988023952095808,0.8562874251497006,0.9700598802395209,0.41666666666666663,0.5613764766307139
39,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,augmented,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.002570694087403599,0.0010277492291880781,0.0006422607578676942,1.0,0.5,0.5,0.5,0.5,0.020202020202020204,0.5002568053415511
40,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.44036697247706424,0.2642369020501139,0.1640838650865998,0.11788154897494305,1.0,0.22641509433962265,0.5471698113207547,0.8490566037735849,0.9764150943396226,0.2990654205607477,0.5676537585421413
