id,race,count,area_id,created_at,updated_at
139,White,25876,454,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
140,Other,1308,454,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
141,Asian,99,455,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
142,Black,31397,455,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
143,Hispanic,2470,455,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
144,White,811,455,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
145,Other,499,455,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
146,Asian,181,457,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
147,Black,8158,457,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
148,Hispanic,62928,457,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
149,White,2267,457,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
150,Other,292,457,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
151,Asian,598,458,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
152,Black,1117,458,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
153,Hispanic,27693,458,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
154,White,4617,458,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
155,Other,385,458,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
156,Asian,5745,463,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
157,Black,4131,463,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
158,Hispanic,2156,463,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
159,White,20378,463,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
160,Other,1032,463,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
